raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,bluetooth_unknown,bluetooth_yes,bluetooth_no,manufacturer_or_service
030344fd181644fdf32536829e05bedd0100000000000000000000000006094d79546167,72,3,"[3, 24, 6]","['03', '16', '09']",tracker,unknown,1,0,0,1
1eff4c00121924ad47af05710fc6c36cfe25b0ba4734f99da649f080c702cc06094d79546143,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
0201060303031805ff5900005009160a18c52ee402698d04096e7574,56,5,"[2, 3, 5, 9, 4]","['01', '03', 'ff', '16', '09']",tracker,no,0,0,1,1
0201040319c2030303121812095241504f4f204254342e30204d6f75736512095241504f4f204254342e30204d6f757365,98,5,"[2, 3, 3, 18, 18]","['01', '19', '03', '09', '09']",non_tracker,no,0,0,1,0
02010408ff7d02010300ffff0f16eefd010101100111fa124d304355020a0412094855415745492042616e6420382d454616,100,5,"[2, 8, 15, 2, 18]","['01', 'ff', '16', '0a', '09']",non_tracker,no,0,0,1,1
02010403020d1808ff7d02010300ff18,32,3,"[2, 3, 8]","['01', '02', 'ff']",non_tracker,no,0,0,1,1
0201040319c2030303121812095241504f4f204254342e30204d6f75736512095241504f4f204254342e30204d6f757303,98,5,"[2, 3, 3, 18, 18]","['01', '19', '03', '09', '09']",non_tracker,no,0,0,1,0
02010408ff7d02010300ffff0916023840dca518defa020a0412094855415745492042616e6420382d454638,88,5,"[2, 8, 9, 2, 18]","['01', 'ff', '16', '0a', '09']",non_tracker,no,0,0,1,1
0201040302f0ff1116eefd0101010f00100011ed124d3030461709485541574549205363616c6520332050726f2d30333705120c000c10,110,5,"[2, 3, 17, 23, 5]","['01', '02', '16', '09', '12']",non_tracker,no,0,0,1,1
020105100950432d3630565e534e30313933333411079ecadc240ee5a9e093f3a3b501004081,76,3,"[2, 16, 17]","['01', '09', '07']",non_tracker,no,0,0,1,0
1eff4c00121920ad47af05710fc6c36cfe25b0ba4734f99da649f080c7026a06094d79546122,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
030344fd181644fdf32536829e05bedd0100000000000000000000000006094d79546132,72,3,"[3, 24, 6]","['03', '16', '09']",tracker,unknown,1,0,0,1
02010408ff7d02010300ffff0f16eefd010101100111fa124d304355020a0412094855415745492042616e6420382d454674,100,5,"[2, 8, 15, 2, 18]","['01', 'ff', '16', '0a', '09']",non_tracker,no,0,0,1,1
1eff4c00121920ad47af05710fc6c36cfe25b0ba4734f99da649f080c702ca06094d79546167,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
0201040319c2030303121812095241504f4f204254342e30204d6f75736512095241504f4f204254342e30204d6f757351,98,5,"[2, 3, 3, 18, 18]","['01', '19', '03', '09', '09']",non_tracker,no,0,0,1,0
020105030312180319c20306ff0600030080110955475245454e20424c45204d6f757365,72,5,"[2, 3, 3, 6, 17]","['01', '03', '19', 'ff', '09']",non_tracker,no,0,0,1,1
030344fd181644fdf32536829e05bedd01000000000000000000000032,58,2,"[3, 24]","['03', '16']",tracker,unknown,1,0,0,1
030344fd181644fdf32536829e05bedd01000000000000000000000000,58,2,"[3, 24]","['03', '16']",tracker,unknown,1,0,0,1
1eff4c00121920ad47af05710fc6c36cfe25b0ba4734f99da649f080c702ca06094d79546139,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
0201050319c2030303121810094c6f67697465636820506562626c65020a29,62,5,"[2, 3, 3, 16, 2]","['01', '19', '03', '09', '0a']",non_tracker,no,0,0,1,0
1eff4c00121920ad47af05710fc6c36cfe25b0ba4734f99da649f080c702ca06094d79546150,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
1eff4c00121924a48fd3a0ba52793df617f21acfe19218fd40ddcc9cb0025606094d79546170,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
020105050260fe10180cff00000000004428a362e768031980031109597577656c6c2042502d594536373097,88,5,"[2, 5, 12, 3, 17]","['01', '02', 'ff', '19', '09']",non_tracker,no,0,0,1,1
1eff4c00121920ad47af05710fc6c36cfe25b0ba4734f99da649f080c702e506094d79546118,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
030344fd181644fdf32536829e05bedd0100000000000000000000000006094d79546157,72,3,"[3, 24, 6]","['03', '16', '09']",tracker,unknown,1,0,0,1
020105100950432d36304697534e30313933333411079ecadc240ee5a9e093f3a3b501004089,76,3,"[2, 16, 17]","['01', '09', '07']",non_tracker,no,0,0,1,0
07ff4c001202240206094d79546174,30,2,"[7, 6]","['ff', '09']",tracker,unknown,1,0,0,1
07ff4c001202640306094d79546167,30,2,"[7, 6]","['ff', '09']",tracker,unknown,1,0,0,1
0201050319c2030303121810094c6f67697465636820506562626c65020a18,62,5,"[2, 3, 3, 16, 2]","['01', '19', '03', '09', '0a']",non_tracker,no,0,0,1,0
