raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,manufacturer_or_service
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0333,62,1,[30],['ff'],tracker,unknown,1
0201061bff2909c81c18102233d584fc4233775402fcd09b75abefcc0a9d580909552d424c444f5867,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060f1695fe305a4225005bfff438c1a4080b094c5957534430324d4d430b094c5957534430324d4d13,86,4,"[2, 15, 11, 11]","['01', '16', '09', '09']",non_tracker,no,1
0201020d0953523130312d306439653183,34,2,"[2, 13]","['01', '09']",non_tracker,yes,0
02011a1bff8f03160114ac42e4e45f00000005a46e46c76b7a0102030405060dff2717080302505e6e6bc74634,90,3,"[2, 27, 13]","['01', 'ff', 'ff']",non_tracker,yes,1
0201061bff2909c81c4b102233d584fc42337754edefd62badd37c0f696fa40909552d424c444f5869,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011a1bff8f03160114ac40e4e45f00000005a46e46c76b770102030405060dff2717080302505e6e6bc74610,90,3,"[2, 27, 13]","['01', 'ff', 'ff']",non_tracker,yes,1
02010607ff64687654566f030300790c094544494649455220424c81,56,4,"[2, 7, 3, 12]","['01', 'ff', '03', '09']",non_tracker,no,1
1eff4c00121910b1b2e2323c5d53837eca76747491072e36ea390ffed40390,62,1,[30],['ff'],tracker,unknown,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0359,62,1,[30],['ff'],tracker,unknown,1
1eff4c00121910711ad7443037f58e1f7f360fdc53ca4d1b2eeb3be25d0212,62,1,[30],['ff'],tracker,unknown,1
0201061bff2909c81c22102233d584fc4233775496e5e53c3771fbf07f32700909552d424c444f5813,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c4a102233d584fc4233775417733d9738722fba2847bc0909552d424c444f5865,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011e0319c0000aff750001000200010202180947616c6178792057617463683320283632423029204c85,86,4,"[2, 3, 10, 24]","['01', '19', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c04102233d584fc42337754a157379b563f0291fd60510909552d424c444f5810,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060502031802180a094b53204d3632303015,40,3,"[2, 5, 10]","['01', '02', '09']",non_tracker,no,0
